sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
11,50089,40001,0.9647011,-0.2000002,-0.19294041294022,0.002222221,0.0,0.002222221,0.002382039,0.0,0.002382039,1,2,CC_DChg,2,arbin,2021-04-21T17:15:11.879700000
12,55088,45000,0.9382338,-0.2000008,-0.18764751058704002,0.002498172,0.0,0.002498172,0.002644553,0.0,0.002644553,1,2,CC_DChg,2,arbin,2021-04-21T17:15:16.878700000
13,60089,50001,0.9118971,-0.1999995,-0.18237896405145,0.0027776,0.0,0.0027776,0.002902993,0.0,0.002902993,1,2,CC_DChg,2,arbin,2021-04-21T17:15:21.879600000
14,65088,55000,0.8855748,-0.1999997,-0.17711469432756,0.003055066,0.0,0.003055066,0.003152287,0.0,0.003152287,1,2,CC_DChg,2,arbin,2021-04-21T17:15:26.878800000
15,70090,60001,0.8593583,-0.1999988,-0.17187062877004,0.003325764,0.0,0.003325764,0.0033885,0.0,0.0033885,1,2,CC_DChg,2,arbin,2021-04-21T17:15:31.880500000
16,75090,65001,0.8333191,-0.1999983,-0.16666240335753,0.003608513,0.0,0.003608513,0.003627868,0.0,0.003627868,1,2,CC_DChg,2,arbin,2021-04-21T17:15:36.880500000
17,80089,70001,0.8073496,-0.199999,-0.1614691126504,0.003886095,0.0,0.003886095,0.003855565,0.0,0.003855565,1,2,CC_DChg,2,arbin,2021-04-21T17:15:41.880200000
18,85090,75001,0.7814593,-0.2000005,-0.15629225072965,0.004165699,0.0,0.004165699,0.004077654,0.0,0.004077654,1,2,CC_DChg,2,arbin,2021-04-21T17:15:46.880400000
19,90089,80000,0.75569,-0.1999986,-0.151136942034,0.004439526,0.0,0.004439526,0.004288114,0.0,0.004288114,1,2,CC_DChg,2,arbin,2021-04-21T17:15:51.879400000
20,95089,85001,0.7300267,-0.1999993,-0.14600482898131,0.004721092,0.0,0.004721092,0.004497274,0.0,0.004497274,1,2,CC_DChg,2,arbin,2021-04-21T17:15:56.880200000
21,100088,90000,0.7044167,-0.199999,-0.1408826355833,0.004992374,0.0,0.004992374,0.00469188,0.0,0.00469188,1,2,CC_DChg,2,arbin,2021-04-21T17:16:01.878800000
22,105089,95001,0.6789622,-0.1999993,-0.13579196472646,0.005277339,0.0,0.005277339,0.004889026,0.0,0.004889026,1,2,CC_DChg,2,arbin,2021-04-21T17:16:06.880200000
23,110089,100001,0.6536145,-0.1999988,-0.1307221156626,0.005549805,0.0,0.005549805,0.005070576,0.0,0.005070576,1,2,CC_DChg,2,arbin,2021-04-21T17:16:11.880100000
24,115089,105000,0.6283488,-0.1999989,-0.12566906881632,0.005827004,0.0,0.005827004,0.005248348,0.0,0.005248348,1,2,CC_DChg,2,arbin,2021-04-21T17:16:16.879600000
25,120088,110000,0.6032614,-0.1999987,-0.12065149576017999,0.006108919,0.0,0.006108919,0.00542199,0.0,0.00542199,1,2,CC_DChg,2,arbin,2021-04-21T17:16:21.878700000
26,125090,115001,0.578278,-0.1999994,-0.11565525303319998,0.006387045,0.0,0.006387045,0.005586281,0.0,0.005586281,1,2,CC_DChg,2,arbin,2021-04-21T17:16:26.880300000
27,130088,120000,0.5534243,-0.1999983,-0.11068391917868999,0.00666517,0.0,0.00666517,0.005743617,0.0,0.005743617,1,2,CC_DChg,2,arbin,2021-04-21T17:16:31.878700000
28,135089,125001,0.5286297,-0.1999989,-0.10572535850733,0.006943547,0.0,0.006943547,0.00589417,0.0,0.00589417,1,2,CC_DChg,2,arbin,2021-04-21T17:16:36.880300000
29,140089,130000,0.5040183,-0.1999986,-0.10080295437438,0.007221362,0.0,0.007221362,0.006037571,0.0,0.006037571,1,2,CC_DChg,2,arbin,2021-04-21T17:16:41.879500000
30,145089,135000,0.4795107,-0.1999995,-0.09590190024465,0.00749856,0.0,0.00749856,0.006173841,0.0,0.006173841,1,2,CC_DChg,2,arbin,2021-04-21T17:16:46.879400000
31,150088,140000,0.4550747,-0.1999985,-0.09101425738794999,0.007772392,0.0,0.007772392,0.006301817,0.0,0.006301817,1,2,CC_DChg,2,arbin,2021-04-21T17:16:51.878800000
32,155088,145000,0.4308161,-0.1999982,-0.08616244453102,0.008052989,0.0,0.008052989,0.006426147,0.0,0.006426147,1,2,CC_DChg,2,arbin,2021-04-21T17:16:56.878600000
33,160089,150000,0.4066538,-0.199999,-0.08133035334620001,0.008329828,0.0,0.008329828,0.006542067,0.0,0.006542067,1,2,CC_DChg,2,arbin,2021-04-21T17:17:01.879400000
34,165089,155001,0.3825745,-0.1999992,-0.07651459394039999,0.008608314,0.0,0.008608314,0.006651974,0.0,0.006651974,1,2,CC_DChg,2,arbin,2021-04-21T17:17:06.880200000
