File Format Type:	ArbinCsvFormat1
Header Lines:	14
Serial Number:	217719-B
Cycler Name:	
Channel Id:	1
Test Name: 	AB-CC_High_0.2A+TestObject_cc210421121129
Test ID: 	1
Schedule Name: 	AB-CC_High_0.2A+TestObject_cc.sdx
Timezone: 	GMT -6:00
Data Type Flag:	 {"1":"IVBasicData","2":"IVExtendData","3":"AuxData","4":"CANBMSData","5":"SMBData","6":"EISData","7":"SMBString"}
Aux Definition:	
Data Field:
"Byte Index"	"Line Number"	"Data Type Flag"	"Data Point"	"Test Time"	"Step Time"	"Cycle Index"	"Step Index"	"Current"	"Voltage"	"Charge Capacity"	"Discharge Capacity"	"Charge Energy"	"Discharge Energy"	"Data Flags"	"Data Time"	"Other Information"
 	 	 	 	"s"	"s"	 	 	"A"	"V"	Ah	Ah	Wh	Wh	 	"DateTime"	"JSON"
4873	36	1	7	3.00900983810424e01	2.00018000602722e01	1	2	-2.000012e-01	 1.071837e000	 0.000000e000	 1.106601e-03	 0.000000e000	 1.246254e-03	0	16190252918804000	{}
5037	37	2	7	3.00900983810424e01	2.00018000602722e01	1	2							0	16190252918804000	{"PV_dVdt":-0.005387907847762108}
5154	38	2	7	3.00900983810424e01	2.00018000602722e01	1	2							0	16190252918804000	{"PV_dVdQ":102.1144027709961}
5267	39	2	7	3.00900983810424e01	2.00018000602722e01	1	2							0	16190252918804000	{"PV_dQdV":0.010656793601810933}
5383	40	1	8	3.50886011123657e01	2.50003004074096e01	1	2	-2.000007e-01	 1.044894e000	 0.000000e000	 1.382908e-03	 0.000000e000	 1.538749e-03	0	16190252968789000	{}
5547	41	2	8	3.50886011123657e01	2.50003004074096e01	1	2							0	16190252968789000	{"PV_dVdt":-0.005378848407417536}
5664	42	2	8	3.50886011123657e01	2.50003004074096e01	1	2							0	16190252968789000	{"PV_dVdQ":96.13739013671875}
5777	43	2	8	3.50886011123657e01	2.50003004074096e01	1	2							0	16190252968789000	{"PV_dQdV":0.010720438323915005}
5893	44	1	9	4.00906991958618e01	3.00023984909057e01	1	2	-2.000005e-01	 1.018048e000	 0.000000e000	 1.666649e-03	 0.000000e000	 1.831418e-03	0	16190253018810000	{}
6057	45	2	9	4.00906991958618e01	3.00023984909057e01	1	2							0	16190253018810000	{"PV_dVdt":-0.005453341640532017}
6174	46	2	9	4.00906991958618e01	3.00023984909057e01	1	2							0	16190253018810000	{"PV_dVdQ":95.00418853759766}
6287	47	2	9	4.00906991958618e01	3.00023984909057e01	1	2							0	16190253018810000	{"PV_dQdV":0.009186586365103722}
6403	48	1	10	4.50889015197753e01	3.50005984306335e01	1	2	-1.999994e-01	 9.913115e-01	 0.000000e000	 1.941971e-03	 0.000000e000	 2.107999e-03	0	16190253068792000	{}
6568	49	2	10	4.50889015197753e01	3.50005984306335e01	1	2							0	16190253068792000	{"PV_dVdt":-0.0053070709109306339}
6687	50	2	10	4.50889015197753e01	3.50005984306335e01	1	2							0	16190253068792000	{"PV_dVdQ":100.1834487915039}
6801	51	2	10	4.50889015197753e01	3.50005984306335e01	1	2							0	16190253068792000	{"PV_dQdV":0.010328643023967743}
6918	52	1	11	5.00894021987915e01	4.00010967254638e01	1	2	-2.000002e-01	 9.647011e-01	 0.000000e000	 2.222221e-03	 0.000000e000	 2.382039e-03	0	16190253118797000	{}
7083	53	2	11	5.00894021987915e01	4.00010967254638e01	1	2							0	16190253118797000	{"PV_dVdt":-0.005338292568922043}
7201	54	2	11	5.00894021987915e01	4.00010967254638e01	1	2							0	16190253118797000	{"PV_dVdQ":98.55325317382813}
7315	55	2	11	5.00894021987915e01	4.00010967254638e01	1	2							0	16190253118797000	{"PV_dQdV":0.010292042046785355}
7432	56	1	12	5.50884008407592e01	4.50001001358032e01	1	2	-2.000008e-01	 9.382338e-01	 0.000000e000	 2.498172e-03	 0.000000e000	 2.644553e-03	0	16190253168787000	{}
7597	57	2	12	5.50884008407592e01	4.50001001358032e01	1	2							0	16190253168787000	{"PV_dVdt":-0.005282617174088955}
7715	58	2	12	5.50884008407592e01	4.50001001358032e01	1	2							0	16190253168787000	{"PV_dVdQ":98.63761901855469}
7829	59	2	12	5.50884008407592e01	4.50001001358032e01	1	2							0	16190253168787000	{"PV_dQdV":0.009723427705466748}
7946	60	1	13	6.00892972946166e01	5.00010013580322e01	1	2	-1.999995e-01	 9.118971e-01	 0.000000e000	 2.777600e-03	 0.000000e000	 2.902993e-03	0	16190253218796000	{}
8111	61	2	13	6.00892972946166e01	5.00010013580322e01	1	2							0	16190253218796000	{"PV_dVdt":-0.0053438227623701099}
8230	62	2	13	6.00892972946166e01	5.00010013580322e01	1	2							0	16190253218796000	{"PV_dVdQ":94.40894317626953}
8344	63	2	13	6.00892972946166e01	5.00010013580322e01	1	2							0	16190253218796000	{"PV_dQdV":0.010437185876071453}
8461	64	1	14	6.50885009765625e01	5.50002002716064e01	1	2	-1.999997e-01	 8.855748e-01	 0.000000e000	 3.055066e-03	 0.000000e000	 3.152287e-03	0	16190253268788000	{}
8626	65	2	14	6.50885009765625e01	5.50002002716064e01	1	2							0	16190253268788000	{"PV_dVdt":-0.005251283757388592}
8744	66	2	14	6.50885009765625e01	5.50002002716064e01	1	2							0	16190253268788000	{"PV_dVdQ":89.78823852539063}
8858	67	2	14	6.50885009765625e01	5.50002002716064e01	1	2							0	16190253268788000	{"PV_dQdV":0.011939482763409615}
8975	68	1	15	7.00902032852172e01	6.00018978118896e01	1	2	-1.999988e-01	 8.593583e-01	 0.000000e000	 3.325764e-03	 0.000000e000	 3.388500e-03	0	16190253318805000	{}
9140	69	2	15	7.00902032852172e01	6.00018978118896e01	1	2							0	16190253318805000	{"PV_dVdt":-0.005146685987710953}
9258	70	2	15	7.00902032852172e01	6.00018978118896e01	1	2							0	16190253318805000	{"PV_dVdQ":96.20929718017578}
9372	71	2	15	7.00902032852172e01	6.00018978118896e01	1	2							0	16190253318805000	{"PV_dQdV":0.010299975983798504}
9489	72	1	16	7.50902032852172e01	6.50018978118896e01	1	2	-1.999983e-01	 8.333191e-01	 0.000000e000	 3.608513e-03	 0.000000e000	 3.627868e-03	0	16190253368805000	{}
9654	73	2	16	7.50902032852172e01	6.50018978118896e01	1	2							0	16190253368805000	{"PV_dVdt":-0.005181245971471071}
9772	74	2	16	7.50902032852172e01	6.50018978118896e01	1	2							0	16190253368805000	{"PV_dVdQ":93.43216705322266}
9886	75	2	16	7.50902032852172e01	6.50018978118896e01	1	2							0	16190253368805000	{"PV_dQdV":0.011169816367328167}
10003	76	1	17	8.00898933410644e01	7.00016021728515e01	1	2	-1.999990e-01	 8.073496e-01	 0.000000e000	 3.886095e-03	 0.000000e000	 3.855565e-03	0	16190253418802000	{}
10169	77	2	17	8.00898933410644e01	7.00016021728515e01	1	2							0	16190253418802000	{"PV_dVdt":-0.005109270103275776}
10288	78	2	17	8.00898933410644e01	7.00016021728515e01	1	2							0	16190253418802000	{"PV_dVdQ":88.6513900756836}
10402	79	2	17	8.00898933410644e01	7.00016021728515e01	1	2							0	16190253418802000	{"PV_dQdV":0.010934264399111271}
10520	80	1	18	8.50901031494140e01	7.50018024444580e01	1	2	-2.000005e-01	 7.814593e-01	 0.000000e000	 4.165699e-03	 0.000000e000	 4.077654e-03	0	16190253468804000	{}
10686	81	2	18	8.50901031494140e01	7.50018024444580e01	1	2							0	16190253468804000	{"PV_dVdt":-0.005064759869128466}
10805	82	2	18	8.50901031494140e01	7.50018024444580e01	1	2							0	16190253468804000	{"PV_dVdQ":90.83354187011719}
10920	83	2	18	8.50901031494140e01	7.50018024444580e01	1	2							0	16190253468804000	{"PV_dQdV":0.011972369626164437}
11038	84	1	19	9.00891017913818e01	8.00008010864257e01	1	2	-1.999986e-01	 7.556900e-01	 0.000000e000	 4.439526e-03	 0.000000e000	 4.288114e-03	0	16190253518794000	{}
11204	85	2	19	9.00891017913818e01	8.00008010864257e01	1	2							0	16190253518794000	{"PV_dVdt":-0.005080156959593296}
11323	86	2	19	9.00891017913818e01	8.00008010864257e01	1	2							0	16190253518794000	{"PV_dVdQ":93.48139190673828}
11438	87	2	19	9.00891017913818e01	8.00008010864257e01	1	2							0	16190253518794000	{"PV_dQdV":0.010597298853099347}
11556	88	1	20	9.50898933410644e01	8.50016021728515e01	1	2	-1.999993e-01	 7.300267e-01	 0.000000e000	 4.721092e-03	 0.000000e000	 4.497274e-03	0	16190253568802000	{}
11722	89	2	20	9.50898933410644e01	8.50016021728515e01	1	2							0	16190253568802000	{"PV_dVdt":-0.0052658552303910259}
11842	90	2	20	9.50898933410644e01	8.50016021728515e01	1	2							0	16190253568802000	{"PV_dVdQ":87.39771270751953}
11957	91	2	20	9.50898933410644e01	8.50016021728515e01	1	2							0	16190253568802000	{"PV_dQdV":0.012307313270866871}
12075	92	1	21	1.00088500976562e02	9.00002002716064e01	1	2	-1.999990e-01	 7.044167e-01	 0.000000e000	 4.992374e-03	 0.000000e000	 4.691880e-03	0	16190253618788000	{}
12241	93	2	21	1.00088500976562e02	9.00002002716064e01	1	2							0	16190253618788000	{"PV_dVdt":-0.0052250144071877}
12358	94	2	21	1.00088500976562e02	9.00002002716064e01	1	2							0	16190253618788000	{"PV_dVdQ":95.07347106933594}
12473	95	2	21	1.00088500976562e02	9.00002002716064e01	1	2							0	16190253618788000	{"PV_dQdV":0.01144419051706791}
12590	96	1	22	1.05089890956878e02	9.50016021728515e01	1	2	-1.999993e-01	 6.789622e-01	 0.000000e000	 5.277339e-03	 0.000000e000	 4.889026e-03	0	16190253668802000	{}
12756	97	2	22	1.05089890956878e02	9.50016021728515e01	1	2							0	16190253668802000	{"PV_dVdt":-0.00502931559458375}
12874	98	2	22	1.05089890956878e02	9.50016021728515e01	1	2							0	16190253668802000	{"PV_dVdQ":90.56322479248047}
12989	99	2	22	1.05089890956878e02	9.50016021728515e01	1	2							0	16190253668802000	{"PV_dQdV":0.010928836651146412}
13107	100	1	23	1.10089802742004e02	1.00001502037048e02	1	2	-1.999988e-01	 6.536145e-01	 0.000000e000	 5.549805e-03	 0.000000e000	 5.070576e-03	0	16190253718801000	{}
13274	101	2	23	1.10089802742004e02	1.00001502037048e02	1	2							0	16190253718801000	{"PV_dVdt":-0.005106797907501459}
13394	102	2	23	1.10089802742004e02	1.00001502037048e02	1	2							0	16190253718801000	{"PV_dVdQ":93.44149017333985}
13510	103	2	23	1.10089802742004e02	1.00001502037048e02	1	2							0	16190253718801000	{"PV_dQdV":0.010946770198643208}
13629	104	1	24	1.15089297294616e02	1.05000996589660e02	1	2	-1.999989e-01	 6.283488e-01	 0.000000e000	 5.827004e-03	 0.000000e000	 5.248348e-03	0	16190253768796000	{}
13796	105	2	24	1.15089297294616e02	1.05000996589660e02	1	2							0	16190253768796000	{"PV_dVdt":-0.005188873503357172}
13916	106	2	24	1.15089297294616e02	1.05000996589660e02	1	2							0	16190253768796000	{"PV_dVdQ":92.72705078125}
14029	107	2	24	1.15089297294616e02	1.05000996589660e02	1	2							0	16190253768796000	{"PV_dQdV":0.011363307014107705}
14148	108	1	25	1.20088410377502e02	1.10000097751617e02	1	2	-1.999987e-01	 6.032614e-01	 0.000000e000	 6.108919e-03	 0.000000e000	 5.421990e-03	0	16190253818787000	{}
14315	109	2	25	1.20088410377502e02	1.10000097751617e02	1	2							0	16190253818787000	{"PV_dVdt":-0.005056460853666067}
14435	110	2	25	1.20088410377502e02	1.10000097751617e02	1	2							0	16190253818787000	{"PV_dVdQ":84.35145568847656}
14551	111	2	25	1.20088410377502e02	1.10000097751617e02	1	2							0	16190253818787000	{"PV_dQdV":0.011077851988375187}
14670	112	1	26	1.25090003013610e02	1.15001702308654e02	1	2	-1.999994e-01	 5.782780e-01	 0.000000e000	 6.387045e-03	 0.000000e000	 5.586281e-03	0	16190253868803000	{}
14837	113	2	26	1.25090003013610e02	1.15001702308654e02	1	2							0	16190253868803000	{"PV_dVdt":-0.00506849680095911}
14956	114	2	26	1.25090003013610e02	1.15001702308654e02	1	2							0	16190253868803000	{"PV_dVdQ":88.01651763916016}
15072	115	2	26	1.25090003013610e02	1.15001702308654e02	1	2							0	16190253868803000	{"PV_dQdV":0.010987627319991589}
15191	116	1	27	1.30088400840759e02	1.20000100135803e02	1	2	-1.999983e-01	 5.534243e-01	 0.000000e000	 6.665170e-03	 0.000000e000	 5.743617e-03	0	16190253918787000	{}
15358	117	2	27	1.30088400840759e02	1.20000100135803e02	1	2							0	16190253918787000	{"PV_dVdt":-0.004973273258656263}
15478	118	2	27	1.30088400840759e02	1.20000100135803e02	1	2							0	16190253918787000	{"PV_dVdQ":86.37905883789063}
15594	119	2	27	1.30088400840759e02	1.20000100135803e02	1	2							0	16190253918787000	{"PV_dQdV":0.010884435847401619}
15713	120	1	28	1.35089993476867e02	1.25001692771911e02	1	2	-1.999989e-01	 5.286297e-01	 0.000000e000	 6.943547e-03	 0.000000e000	 5.894170e-03	0	16190253968803000	{}
15880	121	2	28	1.35089993476867e02	1.25001692771911e02	1	2							0	16190253968803000	{"PV_dVdt":-0.004906808026134968}
16000	122	2	28	1.35089993476867e02	1.25001692771911e02	1	2							0	16190253968803000	{"PV_dVdQ":87.89039611816406}
16116	123	2	28	1.35089993476867e02	1.25001692771911e02	1	2							0	16190253968803000	{"PV_dQdV":0.01120903342962265}
16234	124	1	29	1.40089201927185e02	1.30000901222229e02	1	2	-1.999986e-01	 5.040183e-01	 0.000000e000	 7.221362e-03	 0.000000e000	 6.037571e-03	0	16190254018795000	{}
16401	125	2	29	1.40089201927185e02	1.30000901222229e02	1	2							0	16190254018795000	{"PV_dVdt":-0.004779917187988758}
16521	126	2	29	1.40089201927185e02	1.30000901222229e02	1	2							0	16190254018795000	{"PV_dVdQ":89.02207946777344}
16637	127	2	29	1.40089201927185e02	1.30000901222229e02	1	2							0	16190254018795000	{"PV_dQdV":0.011313584633171559}
16756	128	1	30	1.45089092254638e02	1.35000789165496e02	1	2	-1.999995e-01	 4.795107e-01	 0.000000e000	 7.498560e-03	 0.000000e000	 6.173841e-03	0	16190254068794000	{}
16923	129	2	30	1.45089092254638e02	1.35000789165496e02	1	2							0	16190254068794000	{"PV_dVdt":-0.004981604404747486}
17043	130	2	30	1.45089092254638e02	1.35000789165496e02	1	2							0	16190254068794000	{"PV_dVdQ":92.2213134765625}
17158	131	2	30	1.45089092254638e02	1.35000789165496e02	1	2							0	16190254068794000	{"PV_dQdV":0.011741318739950657}
17277	132	1	31	1.50088500976562e02	1.40000200271606e02	1	2	-1.999985e-01	 4.550747e-01	 0.000000e000	 7.772392e-03	 0.000000e000	 6.301817e-03	0	16190254118788000	{}
17444	133	2	31	1.50088500976562e02	1.40000200271606e02	1	2							0	16190254118788000	{"PV_dVdt":-0.004795757122337818}
17564	134	2	31	1.50088500976562e02	1.40000200271606e02	1	2							0	16190254118788000	{"PV_dVdQ":89.83168029785156}
17680	135	2	31	1.50088500976562e02	1.40000200271606e02	1	2							0	16190254118788000	{"PV_dQdV":0.011189376004040242}
17799	136	1	32	1.55088305473327e02	1.45000004768371e02	1	2	-1.999982e-01	 4.308161e-01	 0.000000e000	 8.052989e-03	 0.000000e000	 6.426147e-03	0	16190254168786000	{}
17966	137	2	32	1.55088305473327e02	1.45000004768371e02	1	2							0	16190254168786000	{"PV_dVdt":-0.0050096591003239159}
18087	138	2	32	1.55088305473327e02	1.45000004768371e02	1	2							0	16190254168786000	{"PV_dVdQ":88.27702331542969}
18203	139	2	32	1.55088305473327e02	1.45000004768371e02	1	2							0	16190254168786000	{"PV_dQdV":0.011261853389441967}
18322	140	1	33	1.60089087486267e02	1.50000786781311e02	1	2	-1.999990e-01	 4.066538e-01	 0.000000e000	 8.329828e-03	 0.000000e000	 6.542067e-03	0	16190254218794000	{}
18489	141	2	33	1.60089087486267e02	1.50000786781311e02	1	2							0	16190254218794000	{"PV_dVdt":-0.004765267483890057}
18609	142	2	33	1.60089087486267e02	1.50000786781311e02	1	2							0	16190254218794000	{"PV_dVdQ":88.94845581054688}
18725	143	2	33	1.60089087486267e02	1.50000786781311e02	1	2							0	16190254218794000	{"PV_dQdV":0.011445445939898491}
18844	144	1	34	1.65089917182922e02	1.55001602172851e02	1	2	-1.999992e-01	 3.825745e-01	 0.000000e000	 8.608314e-03	 0.000000e000	 6.651974e-03	0	16190254268802000	{}
19011	145	2	34	1.65089917182922e02	1.55001602172851e02	1	2							0	16190254268802000	{"PV_dVdt":-0.004835121799260378}
19131	146	2	34	1.65089917182922e02	1.55001602172851e02	1	2							0	16190254268802000	{"PV_dVdQ":86.96176147460938}
19247	147	2	34	1.65089917182922e02	1.55001602172851e02	1	2							0	16190254268802000	{"PV_dQdV":0.01234352681785822}
19365	148	1	35	1.70090198516845e02	1.60001907348632e02	1	2	-1.999985e-01	 3.585696e-01	 0.000000e000	 8.885186e-03	 0.000000e000	 6.754590e-03	0	16190254318805000	{}
19532	149	2	35	1.70090198516845e02	1.60001907348632e02	1	2							0	16190254318805000	{"PV_dVdt":-0.004841967020183802}
19652	150	2	35	1.70090198516845e02	1.60001907348632e02	1	2							0	16190254318805000	{"PV_dVdQ":87.06488800048828}
19768	151	2	35	1.70090198516845e02	1.60001907348632e02	1	2							0	16190254318805000	{"PV_dQdV":0.01318896934390068}
19886	152	1	36	1.75088500976562e02	1.65000190734863e02	1	2	-1.999988e-01	 3.347115e-01	 0.000000e000	 9.163572e-03	 0.000000e000	 6.851074e-03	0	16190254368788000	{}
